calc_time,funding_interval_hours,last_funding_rate
1735689600015,8,0.00010000
1735718400000,8,-0.00003892
1735747200001,8,0.00003709
1735776000000,8,0.00010000
1735804800006,8,0.00010000
1735833600000,8,0.00010000
1735862400000,8,0.00010000
1735891200000,8,0.00010000
1735920000000,8,0.00010000
1735948800000,8,0.00004330
1735977600000,8,0.00010000
1736006400000,8,0.00001014
1736035200000,8,0.00008853
1736064000000,8,0.00010000
1736092800000,8,0.00010000
1736121600000,8,0.00010000
1736150400001,8,-0.00021821
1736179200000,8,0.00004237
1736208000000,8,0.00001749
1736236800000,8,-0.00001310
1736265600008,8,0.00002158
1736294400001,8,0.00010000
1736323200000,8,0.00010000
1736352000000,8,-0.00012828
1736380800000,8,-0.00015755
1736409600000,8,-0.00017105
1736438400000,8,0.00008414
1736467200000,8,0.00001691
1736496000000,8,0.00001631
1736524800000,8,0.00010000
1736553600000,8,0.00005397
1736582400000,8,-0.00000564
1736611200000,8,-4E-8
1736640000000,8,0.00009867
1736668800000,8,-0.00004003
1736697600000,8,0.00000436
1736726400000,8,-0.00011166
1736755200000,8,-0.00011240
1736784000000,8,-0.00012567
1736812800000,8,-0.00012210
1736841600000,8,0.00002617
1736870400000,8,-0.00017345
1736899200000,8,-0.00011915
1736928000000,8,0.00001649
1736956800000,8,0.00010000
1736985600000,8,0.00010000
1737014400000,8,0.00010000
1737043200000,8,0.00010000
1737072000004,8,0.00010000
1737100800000,8,0.00010000
1737129600008,8,-0.00001619
1737158400000,8,0.00010000
1737187200007,8,0.00007268
1737216000000,8,0.00000610
1737244800000,8,0.00000340
1737273600000,8,-0.00001837
1737302400000,8,0.00010000
1737331200000,8,0.00010000
1737360000009,8,-0.00003935
1737388800000,8,0.00010000
1737417600000,8,0.00010000
1737446400000,8,0.00010000
1737475200000,8,0.00010000
1737504000000,8,0.00010000
1737532800000,8,0.00010000
1737561600000,8,0.00010000
1737590400001,8,0.00010000
1737619200000,8,0.00005956
1737648000000,8,-0.00006570
1737676800000,8,0.00002497
1737705600000,8,0.00010000
1737734400000,8,0.00010000
1737763200000,8,0.00010000
1737792000000,8,0.00004017
1737820800001,8,0.00007978
1737849600000,8,0.00010000
1737878400000,8,0.00010000
1737907200000,8,-0.00003879
1737936000000,8,-0.00010581
1737964800000,8,-0.00012625
1737993600000,8,-0.00021083
1738022400000,8,0.00002371
1738051200000,8,-0.00002397
1738080000000,8,0.00006157
1738108800000,8,-0.00001475
1738137600000,8,0.00008704
1738166400000,8,-0.00006017
1738195200000,8,-0.00002630
1738224000000,8,0.00010000
1738252800000,8,0.00010000
1738281600000,8,0.00010000
1738310400000,8,0.00010000
1738339200000,8,0.00010000
