calc_time,funding_interval_hours,last_funding_rate
1754006400001,8,0.00008565
1754035200003,8,0.00005753
1754064000000,8,0.00008904
1754092800004,8,0.00010000
1754121600000,8,0.00010000
1754150400000,8,0.00010000
1754179200000,8,0.00010000
1754208000000,8,0.00008771
1754236800003,8,0.00008056
1754265600004,8,-0.00002137
1754294400000,8,0.00000190
1754323200002,8,0.00010000
1754352000000,8,-0.00000832
1754380800000,8,0.00010000
1754409600000,8,0.00010000
1754438400005,8,0.00009749
1754467200000,8,0.00010000
1754496000000,8,0.00010000
1754524800003,8,0.00002726
1754553600002,8,0.00003002
1754582400002,8,0.00005764
1754611200002,8,0.00010000
1754640000004,8,0.00008218
1754668800000,8,0.00005337
1754697600005,8,0.00010000
1754726400000,8,0.00010000
1754755200007,8,0.00010000
1754784000003,8,0.00010000
1754812800005,8,0.00010000
1754841600002,8,0.00010000
1754870400000,8,0.00010000
1754899200000,8,0.00010000
1754928000000,8,0.00010000
1754956800000,8,0.00010000
1754985600001,8,0.00010000
1755014400005,8,0.00008142
1755043200000,8,0.00010000
1755072000002,8,0.00010000
1755100800006,8,0.00010000
1755129600002,8,0.00010000
1755158400003,8,0.00010000
1755187200000,8,0.00010000
1755216000000,8,0.00010000
1755244800000,8,-0.00001785
1755273600000,8,0.00008049
1755302400004,8,0.00005946
1755331200000,8,0.00010000
1755360000002,8,0.00010000
1755388800000,8,0.00010000
1755417600001,8,0.00010000
1755446400007,8,0.00009392
1755475200000,8,0.00009477
1755504000001,8,0.00005648
1755532800002,8,0.00003698
1755561600000,8,0.00004558
1755590400001,8,0.00010000
1755619200000,8,0.00010000
1755648000000,8,0.00004601
1755676800000,8,0.00001221
1755705600000,8,0.00006644
1755734400006,8,0.00009396
1755763200000,8,0.00010000
1755792000003,8,0.00009343
1755820800010,8,0.00010000
1755849600007,8,0.00001674
1755878400001,8,0.00004708
1755907200004,8,0.00010000
1755936000006,8,0.00010000
1755964800000,8,0.00010000
1755993600001,8,0.00010000
1756022400002,8,0.00010000
1756051200001,8,0.00010000
1756080000000,8,0.00010000
1756108800002,8,0.00010000
1756137600002,8,0.00002024
1756166400000,8,0.00010000
1756195200000,8,0.00007339
1756224000000,8,-0.00002824
1756252800003,8,-0.00005040
1756281600000,8,0.00005329
1756310400009,8,-0.00000960
1756339200000,8,0.00010000
1756368000005,8,0.00010000
1756396800004,8,0.00010000
1756425600000,8,0.00010000
1756454400000,8,0.00010000
1756483200005,8,0.00010000
1756512000000,8,0.00007643
1756540800002,8,0.00010000
1756569600003,8,0.00010000
1756598400016,8,0.00010000
1756627200000,8,0.00010000
1756656000001,8,0.00010000
