calc_time,funding_interval_hours,last_funding_rate
1601510400000,8,-0.00025416
1601539200000,8,0.00010000
1601568000000,8,0.00010000
1601596800011,8,0.00005208
1601625600000,8,0.00007022
1601654400005,8,0.00010000
1601683200000,8,-0.00015428
1601712000001,8,-0.00059442
1601740800000,8,-0.00034546
1601769600000,8,0.00007413
1601798400003,8,-0.00107719
1601827200001,8,-0.00167126
1601856000000,8,-0.00099078
1601884800000,8,-0.00194485
1601913600012,8,-0.00066244
1601942400000,8,-0.00035542
1601971200005,8,-0.00227416
1602000000000,8,-0.00248050
1602028800000,8,-0.00154079
1602057600000,8,-0.00323738
1602086400000,8,-0.00343181
1602115200000,8,-0.00361232
1602144000009,8,-0.00185869
1602172800003,8,-0.00045167
1602201600001,8,-0.00048272
1602230400000,8,-0.00027472
1602259200004,8,-0.00016517
1602288000005,8,-0.00044795
1602316800000,8,0.00010000
1602345600011,8,0.00010000
1602374400002,8,0.00010000
1602403200003,8,0.00008774
1602432000004,8,0.00010000
1602460800001,8,0.00010000
1602489600000,8,0.00010000
1602518400011,8,-0.00011544
1602547200003,8,-0.00006030
1602576000000,8,0.00010000
1602604800001,8,-0.00025068
1602633600001,8,-0.00012499
1602662400000,8,0.00010000
1602691200001,8,0.00010000
1602720000000,8,0.00010000
1602748800000,8,0.00010000
1602777600000,8,0.00010000
1602806400002,8,0.00010000
1602835200003,8,0.00010000
1602864000000,8,-0.00054988
1602892800006,8,-0.00128881
1602921600007,8,-0.00067109
1602950400009,8,-0.00056899
1602979200006,8,0.00010000
1603008000000,8,0.00010000
1603036800000,8,0.00010000
1603065600000,8,0.00010000
1603094400000,8,-0.00065428
1603123200000,8,-0.00081383
1603152000015,8,-0.00093807
1603180800000,8,-0.00125267
1603209600008,8,-0.00152251
1603238400009,8,-0.00147871
1603267200004,8,0.00010000
1603296000000,8,0.00009491
1603324800000,8,0.00010000
1603353600000,8,-0.00073807
1603382400004,8,-0.00048347
1603411200007,8,0.00010000
1603440000000,8,0.00010000
1603468800000,8,0.00010000
1603497600000,8,0.00010000
1603526400000,8,0.00010000
1603555200008,8,0.00010000
1603584000005,8,0.00010000
1603612800014,8,0.00010000
1603641600000,8,0.00010000
1603670400004,8,0.00010000
1603699200000,8,0.00010000
1603728000000,8,0.00010000
1603756800000,8,0.00010000
1603785600000,8,0.00010000
1603814400000,8,0.00010000
1603843200000,8,0.00010000
1603872000006,8,0.00010000
1603900800001,8,0.00010000
1603929600000,8,-0.00003133
1603958400000,8,0.00010000
1603987200000,8,0.00010000
1604016000000,8,0.00006883
1604044800002,8,0.00010000
1604073600002,8,0.00010000
1604102400003,8,0.00010000
1604131200000,8,0.00010000
1604160000000,8,0.00010000
