calc_time,funding_interval_hours,last_funding_rate
1627776000005,8,-0.00013882
1627804800016,8,0.00010000
1627833600001,8,0.00010000
1627862400000,8,0.00010000
1627891200014,8,0.00010000
1627920000021,8,0.00010000
1627948800000,8,0.00010000
1627977600000,8,0.00010000
1628006400009,8,0.00010000
1628035200000,8,0.00010000
1628064000000,8,0.00010000
1628092800003,8,0.00010000
1628121600000,8,0.00010000
1628150400000,8,0.00010000
1628179200001,8,0.00010000
1628208000000,8,0.00010000
1628236800004,8,0.00010000
1628265600003,8,0.00010000
1628294400015,8,0.00010000
1628323200001,8,0.00010000
1628352000002,8,0.00013185
1628380800000,8,0.00010000
1628409600002,8,0.00010000
1628438400018,8,0.00013109
1628467200000,8,0.00010000
1628496000000,8,0.00010000
1628524800002,8,0.00010000
1628553600000,8,0.00010000
1628582400003,8,0.00013670
1628611200000,8,0.00017703
1628640000006,8,0.00018029
1628668800003,8,0.00024059
1628697600000,8,0.00046136
1628726400013,8,0.00021754
1628755200001,8,0.00018906
1628784000000,8,0.00014230
1628812800000,8,0.00010000
1628841600000,8,0.00010000
1628870400002,8,0.00016428
1628899200006,8,0.00010000
1628928000000,8,0.00020412
1628956800000,8,0.00030457
1628985600003,8,0.00021574
1629014400000,8,0.00011251
1629043200007,8,0.00021284
1629072000012,8,0.00037381
1629100800003,8,0.00054684
1629129600010,8,0.00069552
1629158400018,8,0.00026059
1629187200015,8,0.00024984
1629216000006,8,0.00018192
1629244800000,8,0.00010000
1629273600000,8,0.00010000
1629302400011,8,0.00010000
1629331200000,8,0.00010000
1629360000014,8,0.00010000
1629388800000,8,0.00010000
1629417600000,8,0.00023302
1629446400001,8,0.00016891
1629475200001,8,0.00031881
1629504000005,8,0.00038327
1629532800001,8,0.00064409
1629561600000,8,0.00038007
1629590400005,8,0.00010531
1629619200007,8,0.00062295
1629648000002,8,0.00049389
1629676800003,8,0.00030945
1629705600005,8,0.00085458
1629734400002,8,0.00085153
1629763200006,8,0.00056136
1629792000004,8,0.00079648
1629820800000,8,0.00038221
1629849600015,8,0.00010000
1629878400000,8,0.00010000
1629907200000,8,0.00010000
1629936000001,8,0.00010000
1629964800016,8,0.00010000
1629993600004,8,0.00010000
1630022400013,8,0.00010000
1630051200001,8,0.00010000
1630080000004,8,0.00010000
1630108800000,8,0.00010000
1630137600000,8,0.00029499
1630166400000,8,0.00035453
1630195200000,8,0.00019612
1630224000002,8,0.00010000
1630252800005,8,0.00011254
1630281600013,8,0.00014197
1630310400008,8,0.00012931
1630339200000,8,0.00025323
1630368000000,8,0.00024940
1630396800007,8,0.00022929
1630425600003,8,0.00041435
