calc_time,funding_interval_hours,last_funding_rate
1627776000005,8,0.00010000
1627804800016,8,0.00010000
1627833600001,8,0.00010000
1627862400000,8,0.00010000
1627891200014,8,0.00010000
1627920000021,8,0.00010000
1627948800000,8,0.00010000
1627977600000,8,0.00010000
1628006400009,8,0.00010000
1628035200000,8,0.00010000
1628064000000,8,0.00010000
1628092800003,8,0.00010000
1628121600000,8,0.00010000
1628150400000,8,0.00010000
1628179200001,8,0.00010000
1628208000000,8,0.00010000
1628236800004,8,0.00010000
1628265600003,8,0.00010000
1628294400015,8,0.00010000
1628323200001,8,0.00010000
1628352000002,8,0.00010000
1628380800000,8,0.00010000
1628409600002,8,0.00010000
1628438400018,8,0.00010000
1628467200000,8,0.00010000
1628496000000,8,0.00010000
1628524800002,8,0.00010000
1628553600000,8,0.00010000
1628582400003,8,0.00019225
1628611200000,8,0.00010000
1628640000006,8,0.00011395
1628668800003,8,0.00010000
1628697600000,8,0.00015608
1628726400013,8,0.00010000
1628755200001,8,0.00010000
1628784000000,8,0.00020676
1628812800000,8,0.00010000
1628841600000,8,0.00010000
1628870400002,8,0.00043554
1628899200006,8,0.00010000
1628928000000,8,0.00010000
1628956800000,8,0.00010000
1628985600003,8,0.00010000
1629014400000,8,0.00010000
1629043200007,8,0.00010000
1629072000012,8,0.00014894
1629100800003,8,0.00045562
1629129600010,8,0.00033289
1629158400018,8,0.00010000
1629187200015,8,0.00010995
1629216000006,8,0.00010000
1629244800000,8,0.00010000
1629273600000,8,0.00010000
1629302400011,8,0.00010000
1629331200000,8,0.00010000
1629360000014,8,0.00010000
1629388800000,8,0.00010000
1629417600000,8,0.00010000
1629446400001,8,0.00029638
1629475200001,8,0.00010000
1629504000005,8,0.00014594
1629532800001,8,0.00052660
1629561600000,8,0.00030864
1629590400005,8,0.00035478
1629619200007,8,0.00041617
1629648000002,8,0.00050846
1629676800003,8,0.00010000
1629705600005,8,0.00065870
1629734400002,8,0.00050389
1629763200006,8,0.00038191
1629792000004,8,0.00041315
1629820800000,8,0.00041150
1629849600015,8,0.00010000
1629878400000,8,0.00010000
1629907200000,8,0.00010000
1629936000001,8,0.00010000
1629964800016,8,0.00010000
1629993600004,8,0.00010000
1630022400013,8,0.00010000
1630051200001,8,0.00010000
1630080000004,8,0.00010000
1630108800000,8,0.00010000
1630137600000,8,0.00019774
1630166400000,8,0.00012079
1630195200000,8,0.00012193
1630224000002,8,0.00018409
1630252800005,8,0.00010000
1630281600013,8,0.00010000
1630310400008,8,0.00010000
1630339200000,8,0.00010356
1630368000000,8,0.00021502
1630396800007,8,0.00010000
1630425600003,8,0.00028249
