calc_time,funding_interval_hours,last_funding_rate
1606780800000,8,0.00010000
1606809600003,8,0.00010000
1606838400000,8,0.00010000
1606867200001,8,0.00010000
1606896000011,8,0.00010000
1606924800005,8,0.00010000
1606953600001,8,0.00010000
1606982400031,8,0.00010000
1607011200000,8,0.00010000
1607040000006,8,0.00010000
1607068800009,8,0.00010000
1607097600000,8,0.00010000
1607126400000,8,0.00010000
1607155200000,8,0.00007470
1607184000000,8,0.00010000
1607212800004,8,0.00010000
1607241600000,8,-0.00001654
1607270400001,8,-0.00003139
1607299200000,8,-0.00018477
1607328000008,8,-0.00083711
1607356800000,8,-0.00025843
1607385600003,8,-0.00112269
1607414400003,8,-0.00150062
1607443200033,8,-0.00098165
1607472000000,8,-0.00136414
1607500800010,8,-0.00022080
1607529600000,8,-0.00009175
1607558400000,8,0.00010000
1607587200000,8,0.00010000
1607616000007,8,0.00010000
1607644800000,8,0.00010000
1607673600016,8,0.00010000
1607702400010,8,0.00010000
1607731200009,8,0.00010000
1607760000002,8,0.00010000
1607788800000,8,0.00010000
1607817600007,8,0.00010000
1607846400000,8,0.00010000
1607875200000,8,0.00010000
1607904000000,8,0.00010000
1607932800000,8,0.00010000
1607961600000,8,0.00012951
1607990400006,8,0.00010000
1608019200001,8,0.00052931
1608048000000,8,0.00010430
1608076800001,8,0.00010000
1608105600000,8,0.00010000
1608134400000,8,0.00010000
1608163200000,8,0.00010000
1608192000000,8,0.00011181
1608220800011,8,0.00033825
1608249600000,8,0.00014388
1608278400000,8,0.00010000
1608307200000,8,0.00014790
1608336000000,8,0.00010000
1608364800018,8,0.00090558
1608393600000,8,0.00052671
1608422400001,8,0.00120633
1608451200011,8,0.00083852
1608480000023,8,0.00057523
1608508800011,8,0.00010000
1608537600000,8,0.00039284
1608566400000,8,0.00007767
1608595200001,8,0.00010000
1608624000006,8,0.00010000
1608652800000,8,0.00010000
1608681600000,8,0.00010000
1608710400000,8,0.00010000
1608739200000,8,0.00016711
1608768000012,8,0.00010000
1608796800009,8,0.00010000
1608825600001,8,0.00010000
1608854400000,8,0.00010000
1608883200000,8,0.00010000
1608912000000,8,0.00010000
1608940800009,8,0.00010000
1608969600001,8,0.00010000
1608998400006,8,0.00010000
1609027200000,8,0.00010000
1609056000000,8,0.00010000
1609084800001,8,0.00010000
1609113600015,8,0.00010000
1609142400019,8,0.00010000
1609171200000,8,0.00015272
1609200000004,8,0.00020121
1609228800003,8,0.00014174
1609257600000,8,0.00010000
1609286400001,8,0.00012533
1609315200001,8,0.00010000
1609344000012,8,0.00010000
1609372800009,8,0.00010000
1609401600000,8,0.00010000
1609430400010,8,0.00010000
