calc_time,funding_interval_hours,last_funding_rate
1630454400000,8,0.00031077
1630483200006,8,0.00022655
1630512000000,8,0.00060391
1630540800009,8,0.00014239
1630569600006,8,0.00088323
1630598400007,8,0.00105749
1630627200011,8,0.00039452
1630656000000,8,0.00064860
1630684800002,8,0.00073908
1630713600003,8,0.00058752
1630742400008,8,0.00061477
1630771200009,8,0.00056276
1630800000002,8,0.00044495
1630828800002,8,0.00056281
1630857600000,8,0.00081294
1630886400003,8,0.00073677
1630915200008,8,0.00099254
1630944000009,8,0.00054710
1630972800004,8,0.00056854
1631001600002,8,0.00084093
1631030400001,8,-0.00176387
1631059200005,8,-0.00041892
1631088000000,8,0.00010000
1631116800000,8,0.00010000
1631145600006,8,0.00010000
1631174400014,8,0.00010000
1631203200002,8,0.00010000
1631232000001,8,0.00010000
1631260800018,8,0.00010000
1631289600006,8,0.00010000
1631318400000,8,0.00010000
1631347200001,8,0.00010000
1631376000000,8,0.00010000
1631404800000,8,0.00010000
1631433600002,8,0.00010000
1631462400000,8,0.00010000
1631491200000,8,0.00010000
1631520000007,8,0.00010000
1631548800005,8,0.00010000
1631577600002,8,0.00010000
1631606400000,8,0.00010000
1631635200007,8,0.00010000
1631664000012,8,0.00010000
1631692800003,8,0.00010000
1631721600006,8,0.00010000
1631750400008,8,0.00010000
1631779200005,8,0.00010000
1631808000002,8,0.00010000
1631836800000,8,0.00010000
1631865600047,8,0.00010000
1631894400013,8,0.00010000
1631923200000,8,0.00010000
1631952000010,8,0.00010000
1631980800005,8,0.00010000
1632009600006,8,0.00010000
1632038400015,8,0.00010000
1632067200007,8,0.00010000
1632096000018,8,0.00010000
1632124800000,8,0.00010000
1632153600005,8,0.00001898
1632182400005,8,0.00007231
1632211200007,8,0.00010000
1632240000000,8,0.00010000
1632268800005,8,0.00007454
1632297600006,8,-0.00005612
1632326400000,8,0.00004940
1632355200003,8,-0.00003703
1632384000000,8,0.00010000
1632412800007,8,0.00010000
1632441600000,8,0.00006762
1632470400017,8,0.00004330
1632499200000,8,-0.00003165
1632528000007,8,-0.00023699
1632556800002,8,-0.00002504
1632585600004,8,0.00002523
1632614400013,8,0.00006509
1632643200000,8,0.00001641
1632672000005,8,0.00010000
1632700800000,8,0.00001257
1632729600001,8,-0.00000912
1632758400000,8,-0.00019955
1632787200000,8,-0.00029622
1632816000014,8,-0.00036738
1632844800000,8,-0.00011042
1632873600000,8,-0.00035719
1632902400002,8,-0.00037891
1632931200000,8,-0.00005301
1632960000000,8,-0.00010754
1632988800004,8,-0.00000500
1633017600005,8,0.00006059
