calc_time,funding_interval_hours,last_funding_rate
1680307200000,8,-0.00005147
1680336000000,8,0.00007109
1680364800018,8,0.00001616
1680393600013,8,1.6E-7
1680422400014,8,-0.00014129
1680451200001,8,-0.00020897
1680480000000,8,-0.00020099
1680508800013,8,-0.00027138
1680537600011,8,0.00010000
1680566400002,8,0.00010000
1680595200017,8,0.00010000
1680624000008,8,0.00010000
1680652800000,8,0.00010000
1680681600016,8,0.00010000
1680710400004,8,0.00010000
1680739200000,8,-0.00000792
1680768000011,8,0.00010000
1680796800000,8,0.00010000
1680825600006,8,0.00010000
1680854400005,8,0.00010000
1680883200000,8,0.00010000
1680912000000,8,0.00010000
1680940800014,8,0.00005151
1680969600018,8,0.00010000
1680998400013,8,0.00010000
1681027200024,8,0.00010000
1681056000010,8,0.00010000
1681084800000,8,0.00006652
1681113600010,8,0.00010000
1681142400006,8,0.00010000
1681171200008,8,0.00010000
1681200000007,8,0.00010000
1681228800016,8,0.00010000
1681257600006,8,0.00010000
1681286400008,8,0.00010000
1681315200014,8,0.00010000
1681344000027,8,0.00010000
1681372800010,8,0.00002899
1681401600000,8,0.00010000
1681430400001,8,0.00010000
1681459200008,8,0.00010000
1681488000007,8,0.00010000
1681516800007,8,0.00010000
1681545600007,8,0.00010000
1681574400011,8,0.00010000
1681603200014,8,0.00010000
1681632000007,8,0.00010000
1681660800002,8,0.00010000
1681689600017,8,0.00027814
1681718400006,8,0.00010000
1681747200000,8,0.00010000
1681776000013,8,0.00010000
1681804800017,8,0.00010000
1681833600000,8,0.00010000
1681862400022,8,0.00011156
1681891200014,8,0.00010000
1681920000000,8,-0.00026544
1681948800010,8,0.00010000
1681977600012,8,0.00010000
1682006400012,8,0.00010000
1682035200009,8,0.00010000
1682064000009,8,0.00010000
1682092800003,8,0.00010000
1682121600000,8,0.00010000
1682150400000,8,0.00010000
1682179200016,8,0.00010000
1682208000009,8,-0.00002367
1682236800020,8,-0.00003063
1682265600007,8,0.00008171
1682294400000,8,0.00010000
1682323200008,8,-0.00005240
1682352000006,8,0.00007206
1682380800014,8,-0.00008648
1682409600009,8,-0.00012169
1682438400015,8,0.00007156
1682467200015,8,0.00008201
1682496000013,8,0.00003218
1682524800001,8,0.00010000
1682553600014,8,0.00010000
1682582400008,8,0.00010000
1682611200005,8,0.00009683
1682640000011,8,0.00010000
1682668800007,8,0.00010000
1682697600006,8,0.00007592
1682726400004,8,-0.00000111
1682755200016,8,0.00010000
1682784000001,8,0.00010000
1682812800008,8,0.00010000
1682841600000,8,0.00006085
1682870400010,8,0.00005256
