calc_time,funding_interval_hours,last_funding_rate
1737043200000,8,0.00010000
1737072000004,8,0.00010000
1737100800000,8,0.00010000
1737129600008,8,0.00007021
1737158400000,8,0.00010000
1737187200007,8,0.00010000
1737216000000,8,0.00000113
1737244800000,8,0.00010000
1737273600000,8,0.00010000
1737302400000,8,0.00010000
1737331200000,8,0.00010000
1737360000009,8,0.00010000
1737388800000,8,0.00010000
1737417600000,8,0.00010000
1737446400000,8,0.00010000
1737475200000,8,0.00010000
1737504000000,8,0.00010000
1737532800000,8,0.00010000
1737561600000,8,0.00010000
1737590400001,8,0.00010000
1737619200000,8,0.00010000
1737648000000,8,0.00010000
1737676800000,8,0.00010000
1737705600000,8,0.00010000
1737734400000,8,0.00010000
1737763200000,8,0.00010000
1737792000000,8,0.00010000
1737820800001,8,0.00010000
1737849600000,8,0.00010000
1737878400000,8,0.00010000
1737907200000,8,0.00010000
1737936000000,8,0.00007840
1737964800000,8,0.00010000
1737993600000,8,0.00010000
1738022400000,8,0.00010000
1738051200000,8,0.00007977
1738080000000,8,0.00010000
1738108800000,8,0.00002417
1738137600000,8,0.00010000
1738166400000,8,0.00010000
1738195200000,8,0.00010000
1738224000000,8,0.00010000
1738252800000,8,0.00010000
1738281600000,8,0.00010000
1738310400000,8,0.00010000
1738339200000,8,0.00010000
1738368000000,8,0.00010000
1738396800000,8,0.00010000
1738425600000,8,0.00010000
1738454400001,8,0.00000235
1738483200000,8,0.00002669
1738512000000,8,0.00010000
1738540800000,8,-0.00013823
1738569600000,8,-0.00015310
1738598400000,8,9E-8
1738627200000,8,-0.00005961
1738656000001,8,-0.00021658
1738684800000,8,-0.00007239
1738713600001,8,0.00005560
1738742400001,8,0.00000799
1738771200000,8,0.00000347
1738800000001,8,0.00003323
1738828800001,8,0.00004316
1738857600000,8,-0.00005922
1738886400000,8,0.00002873
1738915200000,8,0.00000537
1738944000000,8,0.00010000
1738972800000,8,0.00004682
1739001600000,8,0.00000482
1739030400000,8,0.00008066
1739059200000,8,0.00006394
1739088000000,8,0.00009062
1739116800000,8,0.00007478
1739145600000,8,0.00003922
1739174400000,8,0.00008546
1739203200000,8,0.00005579
1739232000000,8,0.00001456
1739260800000,8,-0.00000393
1739289600000,8,0.00006437
1739318400000,8,0.00004902
1739347200000,8,-0.00003273
1739376000001,8,-0.00001740
1739404800001,8,0.00007026
1739433600000,8,0.00003818
1739462400001,8,0.00007070
1739491200000,8,-0.00003882
1739520000001,8,0.00010000
1739548800000,8,0.00010000
1739577600000,8,0.00010000
1739606400000,8,-0.00004639
1739635200000,8,-0.00002734
1739664000000,8,0.00000355
1739692800000,8,-0.00006097
1739721600000,8,-0.00000542
1739750400000,8,-0.00014970
1739779200000,8,-0.00001619
1739808000000,8,0.00010000
1739836800000,8,0.00001420
1739865600000,8,-0.00009817
1739894400000,8,0.00008105
1739923200000,8,-0.00001309
1739952000000,8,0.00008750
1739980800000,8,0.00010000
1740009600000,8,0.00007760
1740038400000,8,-0.00000312
