calc_time,funding_interval_hours,last_funding_rate
1609459200002,8,-0.00165238
1609488000006,8,-0.00204383
1609516800003,8,-0.00080750
1609545600000,8,-0.00120567
1609574400000,8,0.00010000
1609603200006,8,-0.00007871
1609632000018,8,-0.00009318
1609660800000,8,-0.00048296
1609689600002,8,-0.00253289
1609718400000,8,-0.00302774
1609747200000,8,0.00010000
1609776000000,8,-0.00240332
1609804800020,8,-0.00667102
1609833600003,8,-0.00285395
1609862400003,8,-0.00482538
1609891200010,8,-0.00750000
1609920000003,8,-0.00750000
1609948800000,8,-0.00750000
1609977600007,8,-0.00750000
1610006400000,8,-0.00750000
1610035200004,8,0E-8
1610064000000,8,-0.00094262
1610092800000,8,0.00071256
1610121600000,8,0.00012872
1610150400009,8,0.00032940
1610179200004,8,0.00138669
1610208000000,8,0.00051747
1610236800000,8,0.00318311
1610265600005,8,0.00201398
1610294400000,8,0.00080074
1610323200000,8,0.00024441
1610352000012,8,0.00010000
1610380800000,8,0.00087274
1610409600000,8,0.00010000
1610438400000,8,-0.00004075
1610467200008,8,0.00010000
1610496000001,8,0.00030906
1610524800000,8,0.00028285
1610553600003,8,0.00010000
1610582400000,8,0.00010000
1610611200012,8,0.00013077
1610640000000,8,0.00127162
1610668800002,8,0.00010000
1610697600000,8,0.00010000
1610726400004,8,0.00099857
1610755200000,8,0.00063201
1610784000008,8,0.00082427
1610812800000,8,0.00199151
1610841600009,8,0.00113160
1610870400000,8,0.00088588
1610899200001,8,0.00026075
1610928000000,8,0.00122517
1610956800004,8,0.00072640
1610985600000,8,0.00146114
1611014400000,8,0.00120146
1611043200005,8,0.00123494
1611072000012,8,0.00010000
1611100800012,8,0.00010000
1611129600001,8,0.00010000
1611158400001,8,-0.00034721
1611187200000,8,-0.00004668
1611216000000,8,0.00010000
1611244800004,8,-0.00008357
1611273600012,8,-0.00054589
1611302400003,8,-0.00028412
1611331200001,8,0.00010000
1611360000000,8,0.00010000
1611388800002,8,0.00010000
1611417600000,8,0.00010000
1611446400001,8,0.00010000
1611475200011,8,0.00014037
1611504000005,8,0.00010000
1611532800007,8,0.00019694
1611561600012,8,0.00113240
1611590400000,8,0.00010000
1611619200007,8,0.00010000
1611648000000,8,0.00010000
1611676800000,8,0.00010000
1611705600000,8,0.00010000
1611734400011,8,0.00010000
1611763200003,8,0.00010000
1611792000000,8,0.00010000
1611820800000,8,0.00010000
1611849600000,8,0.00032246
1611878400009,8,0.00010270
1611907200000,8,0.00046897
1611936000000,8,0.00135527
1611964800000,8,0.00074522
1611993600000,8,0.00042600
1612022400000,8,0.00083867
1612051200009,8,0.00136282
1612080000000,8,0.00068997
1612108800000,8,0.00125194
