calc_time,funding_interval_hours,last_funding_rate
1772323200005,8,0E-8
1772352000000,8,0E-8
1772380800002,8,0E-8
1772409600001,8,0E-8
1772438400007,8,0E-8
1772467200000,8,0E-8
1772496000000,8,0E-8
1772524800000,8,0E-8
1772553600007,8,0E-8
1772582400001,8,0E-8
1772611200005,8,0E-8
1772640000000,8,0E-8
1772668800000,8,0E-8
1772697600000,8,0E-8
1772726400004,8,0E-8
1772755200001,8,0E-8
1772784000001,8,0E-8
1772812800004,8,0E-8
1772841600001,8,0E-8
1772870400012,8,0E-8
1772899200001,8,0E-8
1772928000001,8,0E-8
1772956800000,8,0E-8
1772985600002,8,0E-8
1773014400000,8,0E-8
1773043200004,8,0E-8
1773072000003,8,0E-8
1773100800012,8,0E-8
1773129600002,8,0E-8
1773158400001,8,0E-8
1773187200000,8,0E-8
1773216000007,8,0E-8
1773244800010,8,0E-8
1773273600000,8,0E-8
1773302400000,8,0E-8
1773331200000,8,0E-8
1773360000006,8,0E-8
1773388800001,8,0E-8
1773417600000,8,0E-8
1773446400001,8,0E-8
1773475200000,8,0E-8
1773504000007,8,0E-8
1773532800000,8,0E-8
1773561600000,8,0E-8
1773590400000,8,0E-8
1773619200000,8,0E-8
1773648000010,8,0E-8
1773676800000,8,0E-8
1773705600000,8,0E-8
1773734400002,8,0E-8
1773763200011,8,0E-8
1773792000002,8,0E-8
1773820800002,8,0E-8
1773849600005,8,0E-8
1773878400000,8,-0.00005147
1773907200003,8,-0.00005010
1773936000003,8,0E-8
1773964800002,8,0E-8
1773993600000,8,-0.00012728
1774022400000,8,0E-8
1774051200000,8,0E-8
1774080000000,8,0E-8
1774108800014,8,0E-8
1774137600012,8,0E-8
1774166400007,8,0E-8
1774195200002,8,-0.00007288
1774224000000,8,-0.00004454
1774252800003,8,0E-8
1774281600002,8,0E-8
1774310400000,8,0E-8
1774339200000,8,0E-8
1774368000003,8,0E-8
1774396800000,8,0E-8
1774425600000,8,0E-8
1774454400013,8,0E-8
1774483200001,8,0E-8
1774512000001,8,0E-8
1774540800000,8,0E-8
1774569600006,8,0E-8
1774598400000,8,0E-8
1774627200000,8,-0.00002719
1774656000005,8,0E-8
1774684800005,8,0E-8
1774713600000,8,0E-8
1774742400003,8,0E-8
1774771200001,8,0E-8
1774800000000,8,0E-8
1774828800000,8,0E-8
1774857600005,8,0E-8
1774886400000,8,0E-8
1774915200000,8,0E-8
1774944000000,8,0E-8
1774972800000,8,0E-8
